group,subset_size,subset_features,n_features_total,logloss_mean,logloss_std,delta_vs_full,delta_vs_group_best,selected_group_winner
team_attack,0,,3,1.854080221308428,0.0128955827273847,0.0087306129954187,0.0056659941678791625,False
team_attack,1,team_avg_gls_f_v,4,1.8488565211344672,0.0102512527264916,0.0035069128214582,0.00044229399391837454,False
team_attack,1,team_avg_xg_f,4,1.849700514090726,0.0027230325324293,0.0043509057777169,0.0012862869501770735,False
team_attack,2,team_avg_gls_f_v|team_avg_xg_f,5,1.8484142271405488,0.0057732527832619,0.0030646188275398,0.0,True
team_defence,0,,4,1.8534815827903992,0.0093749369879272,0.0081319744773904,0.00513525027393813,False
team_defence,1,team_avg_xg_c,5,1.848346332516461,0.0059216436269172,0.002996724203452,0.0,True
opp_attack,0,,5,1.8483850446974224,0.0058370124901584,0.0030354363844133,0.0,True
opp_defence,0,,4,1.858530384704872,0.0094566409664539,0.0131807763918629,0.0101453400074496,False
opp_defence,1,opp_avg_xg_c,5,1.8483850446974224,0.0058370124901584,0.0030354363844133,0.0,True
league_priors,0,,5,1.8483850446974224,0.0058370124901584,0.0030354363844133,0.0,True
context,0,,4,1.848666652868578,0.0070666028149995,0.003317044555569,0.00028160817115563397,False
context,1,game_week_normalised,5,1.8483850446974224,0.0058370124901584,0.0030354363844133,0.0,True
movement,0,,5,1.8483850446974224,0.0058370124901584,0.0030354363844133,0.0,True
