group,subset_size,subset_features,n_features_total,logloss_mean,logloss_std,delta_vs_full,delta_vs_group_best,selected_group_winner
team_attack,0,,22,1.8570197372773625,0.0152572755081867,0.0116701289643534,0.01167051039182887,False
team_attack,1,team_avg_gls_f,23,1.8498512775306164,0.0080107514802091,0.0045016692176074,0.0045020506450828,False
team_attack,1,team_avg_xg_f,23,1.8477954881637548,0.0062657633897165,0.0024458798507458,0.002446261278221229,False
team_attack,1,team_avg_gls_f_v,23,1.85167054923936,0.0115431598547968,0.0063209409263511,0.00632132235382632,False
team_attack,1,team_avg_xg_f_v,23,1.84938687535796,0.0113148705541232,0.0040372670449508,0.004037648472426492,False
team_attack,2,team_avg_gls_f|team_avg_xg_f,24,1.847000127567031,0.0067499859235997,0.0016505192540219,0.0016509006814973137,False
team_attack,2,team_avg_gls_f|team_avg_gls_f_v,24,1.8489649390557812,0.0090849954295521,0.0036153307427722,0.003615712170247587,False
team_attack,2,team_avg_gls_f|team_avg_xg_f_v,24,1.8468751358456097,0.0087220274732393,0.0015255275326007,0.0015259089600760944,False
team_attack,2,team_avg_gls_f_v|team_avg_xg_f,24,1.8462464418001787,0.0083646979397791,0.0008968334871697,0.0008972149146451169,True
team_attack,2,team_avg_xg_f|team_avg_xg_f_v,24,1.8465405368696353,0.0080809699777218,0.0011909285566262,0.0011913099841016628,False
team_attack,2,team_avg_gls_f_v|team_avg_xg_f_v,24,1.8486191309384905,0.0134689797758547,0.0032695226254813,0.0032699040529569068,False
team_attack,3,team_avg_gls_f|team_avg_gls_f_v|team_avg_xg_f,25,1.8460019028585155,0.007875313642697,0.0006522945455065,0.0006526759729819087,False
team_attack,3,team_avg_gls_f|team_avg_xg_f|team_avg_xg_f_v,25,1.8457577011262287,0.0072483314533996,0.0004080928132197,0.0004084742406951225,False
team_attack,3,team_avg_gls_f|team_avg_gls_f_v|team_avg_xg_f_v,25,1.846151795657396,0.0097798704621475,0.000802187344387,0.0008025687718624663,False
team_attack,3,team_avg_gls_f_v|team_avg_xg_f|team_avg_xg_f_v,25,1.8462402324199256,0.0091987121584064,0.0008906241069166,0.0008910055343920309,False
