model,logloss_mean,logloss_std,mae,rmse,top1_%,within1_%,rank_top1_%,rank_top2_%,rank_top3_%,mean_rank,logloss (mean±std)
Baseline,1.8489,0.0141,1.298,1.6094,24.9517,66.1133,24.8907,47.202,66.0449,3.0117,1.8489 ± 0.0141
XGB,1.8484,0.0058,1.2869,1.6087,25.0676,66.5529,25.0073,46.6045,66.4966,3.0102,1.8484 ± 0.0058  *
