model,n_features,n_matches,logloss_mean,logloss_std,mae,rmse,top1_accuracy,within_1_accuracy
Baseline,0,6862,1.8489418509912183,0.014082726820281766,1.3016826241914075,1.612998158076702,0.2489070241911979,0.660448848732148
03_Selected_XGB,5,6862,1.8483850446974224,0.005837012490158432,1.2889294139508845,1.6102089790405885,0.2500728650539201,0.6646750218595162
04_Tuned_XGB,5,6862,1.8403436680543588,0.010203946484580475,1.2825484237772353,1.5974978678404341,0.24934421451471875,0.6655494025065578
