L,ALPHA,fold_loglosses_json,logloss_mean,logloss_std
5,0.0,"{""2019/2020"": 1.839843558852228, ""2020/2021"": 1.848260209530294, ""2021/2022"": 1.8553563360029723, ""2022/2023"": 1.8560590243105581, ""2023/2024"": 1.8509546376213404}",1.8500947532634786,0.006565986611368632
5,0.02,"{""2019/2020"": 1.839230727755537, ""2020/2021"": 1.8496899797542785, ""2021/2022"": 1.855704082225217, ""2022/2023"": 1.8554823663920372, ""2023/2024"": 1.850163281210885}",1.850054087467591,0.006683529494207561
5,0.05,"{""2019/2020"": 1.8441863212949643, ""2020/2021"": 1.8475038934099053, ""2021/2022"": 1.8560955823192151, ""2022/2023"": 1.8567825428343079, ""2023/2024"": 1.850557555608617}",1.8510251790934018,0.005437010361701722
5,0.1,"{""2019/2020"": 1.846149157605124, ""2020/2021"": 1.848073592600333, ""2021/2022"": 1.8543847265718845, ""2022/2023"": 1.855262067988912, ""2023/2024"": 1.8523159981273962}",1.85123710857873,0.003973879665957861
5,0.15,"{""2019/2020"": 1.8489663661236493, ""2020/2021"": 1.847499167368957, ""2021/2022"": 1.855368351536842, ""2022/2023"": 1.8563623332915349, ""2023/2024"": 1.8507912125714592}",1.8517974861784885,0.003908077548439465
5,0.2,"{""2019/2020"": 1.8391294335475892, ""2020/2021"": 1.8500813408319217, ""2021/2022"": 1.8534861941109375, ""2022/2023"": 1.856394090319815, ""2023/2024"": 1.8520494315975036}",1.8502280980815535,0.006617284146897232
5,0.25,"{""2019/2020"": 1.8449731832902014, ""2020/2021"": 1.8506680481119462, ""2021/2022"": 1.853256431430305, ""2022/2023"": 1.857343858726684, ""2023/2024"": 1.8520330505478542}",1.8516549144213978,0.004491418678739705
5,0.35,"{""2019/2020"": 1.8406565606114802, ""2020/2021"": 1.8524602729739927, ""2021/2022"": 1.8525929959360838, ""2022/2023"": 1.8545600320511828, ""2023/2024"": 1.8534768682449718}",1.8507493459635422,0.005704194484617702
5,0.5,"{""2019/2020"": 1.8446024736574824, ""2020/2021"": 1.850953489575962, ""2021/2022"": 1.8550072865677232, ""2022/2023"": 1.8565123982889788, ""2023/2024"": 1.8537028866685819}",1.8521557069517456,0.004690487464181447
10,0.0,"{""2019/2020"": 1.838179933596531, ""2020/2021"": 1.850095439983367, ""2021/2022"": 1.8506107509756538, ""2022/2023"": 1.853037624876073, ""2023/2024"": 1.850001474055487}",1.8483850446974224,0.005837012490158432
10,0.02,"{""2019/2020"": 1.834750959826996, ""2020/2021"": 1.8498079965623513, ""2021/2022"": 1.8496237143711334, ""2022/2023"": 1.8518642742690432, ""2023/2024"": 1.8499502959851515}",1.8471994482029348,0.0070173752142724515
10,0.05,"{""2019/2020"": 1.8386969171545984, ""2020/2021"": 1.8488651907339204, ""2021/2022"": 1.8491324585825144, ""2022/2023"": 1.852931758241622, ""2023/2024"": 1.8502064632200954}",1.8479665575865503,0.005425944507547332
10,0.1,"{""2019/2020"": 1.836970778704222, ""2020/2021"": 1.8465347622359685, ""2021/2022"": 1.8526910332366031, ""2022/2023"": 1.852898767785267, ""2023/2024"": 1.8503793049776527}",1.8478949293879428,0.00662193808009342
10,0.15,"{""2019/2020"": 1.83771498548364, ""2020/2021"": 1.8450508027589927, ""2021/2022"": 1.8514080439607385, ""2022/2023"": 1.8526329584564343, ""2023/2024"": 1.8489754141114798}",1.847156440954257,0.006019797111117448
10,0.2,"{""2019/2020"": 1.8412520699120742, ""2020/2021"": 1.8487585904036952, ""2021/2022"": 1.8539381010902778, ""2022/2023"": 1.853258939822482, ""2023/2024"": 1.847078437368994}",1.8488572277195048,0.0051527321236987484
10,0.25,"{""2019/2020"": 1.8390799611975701, ""2020/2021"": 1.8460770571298013, ""2021/2022"": 1.8563011219049186, ""2022/2023"": 1.8534817840679203, ""2023/2024"": 1.8458893215193755}",1.8481658491639172,0.006828997307241346
10,0.35,"{""2019/2020"": 1.841464490645852, ""2020/2021"": 1.848458616900982, ""2021/2022"": 1.8543528842937216, ""2022/2023"": 1.8555824660632076, ""2023/2024"": 1.8508426397036768}",1.850140219521488,0.005611462485690816
10,0.5,"{""2019/2020"": 1.8445450596712143, ""2020/2021"": 1.8500873883017948, ""2021/2022"": 1.8552671609811022, ""2022/2023"": 1.8584738666300105, ""2023/2024"": 1.8526236257991877}",1.852199420276662,0.005291728822822462
15,0.0,"{""2019/2020"": 1.8336368052327954, ""2020/2021"": 1.846157095748385, ""2021/2022"": 1.850775805893664, ""2022/2023"": 1.8544450758034998, ""2023/2024"": 1.8451346669339037}",1.8460298899224497,0.007869962284928223
15,0.02,"{""2019/2020"": 1.837092025751362, ""2020/2021"": 1.8505841774917897, ""2021/2022"": 1.8481697794555239, ""2022/2023"": 1.853104685099193, ""2023/2024"": 1.8450514623643128}",1.8468004260324364,0.00618965863788631
15,0.05,"{""2019/2020"": 1.8339536170108213, ""2020/2021"": 1.8475360166844772, ""2021/2022"": 1.8480864785076618, ""2022/2023"": 1.8566177148785754, ""2023/2024"": 1.8458313645914348}",1.8464050383345942,0.00812053122987024
15,0.1,"{""2019/2020"": 1.831432952355003, ""2020/2021"": 1.8464789243763282, ""2021/2022"": 1.849121150171082, ""2022/2023"": 1.8506085788527677, ""2023/2024"": 1.8478047153460357}",1.8450892642202432,0.00778650470782701
15,0.15,"{""2019/2020"": 1.8328809050949255, ""2020/2021"": 1.8484834370584515, ""2021/2022"": 1.8505939661577364, ""2022/2023"": 1.853650751777092, ""2023/2024"": 1.8455342111575943}",1.8462286542491597,0.00802919958623149
15,0.2,"{""2019/2020"": 1.8335590683427836, ""2020/2021"": 1.8496665662240739, ""2021/2022"": 1.850399663971204, ""2022/2023"": 1.8519597257466391, ""2023/2024"": 1.8455155103813885}",1.846220106933218,0.007468071325482934
15,0.25,"{""2019/2020"": 1.8355840768527734, ""2020/2021"": 1.8478709130704811, ""2021/2022"": 1.8532609878535589, ""2022/2023"": 1.8514335800535398, ""2023/2024"": 1.8475687794689968}",1.84714366745987,0.006894902107037158
15,0.35,"{""2019/2020"": 1.8400859191154417, ""2020/2021"": 1.8478924804115644, ""2021/2022"": 1.854601638708376, ""2022/2023"": 1.8562696670680308, ""2023/2024"": 1.8503065643605032}",1.849831253932783,0.006386823312075839
