L,ALPHA,fold_loglosses_json,logloss_mean,logloss_std
20,0.2,"{""2019/2020"": 1.8258040924959418, ""2020/2021"": 1.8439522721407362, ""2021/2022"": 1.8471192254166375, ""2022/2023"": 1.8488266773455844, ""2023/2024"": 1.8455109981838866}",1.8422426531165574,0.009366983030983711
20,0.25,"{""2019/2020"": 1.8275517145268654, ""2020/2021"": 1.8443131649553475, ""2021/2022"": 1.8490142186334273, ""2022/2023"": 1.8496365324230042, ""2023/2024"": 1.8470478201295077}",1.8435126901336303,0.009160498165587162
20,0.35,"{""2019/2020"": 1.8290666413110461, ""2020/2021"": 1.8455963672340814, ""2021/2022"": 1.8495302878897943, ""2022/2023"": 1.8503906755857091, ""2023/2024"": 1.8496900155095042}",1.8448547975060268,0.009023598108316265
20,0.5,"{""2019/2020"": 1.83230302776383, ""2020/2021"": 1.8467724634941391, ""2021/2022"": 1.8488509559860529, ""2022/2023"": 1.8521844409877972, ""2023/2024"": 1.8523688812966752}",1.8464959539056989,0.008275140576485669
25,0.0,"{""2019/2020"": 1.8259489522719967, ""2020/2021"": 1.8444034621820495, ""2021/2022"": 1.845547256092972, ""2022/2023"": 1.8471918976588828, ""2023/2024"": 1.8425997638482454}",1.8411382664108291,0.008654455261551104
25,0.02,"{""2019/2020"": 1.8272167995088773, ""2020/2021"": 1.8446756995350635, ""2021/2022"": 1.845258364081981, ""2022/2023"": 1.847598662209523, ""2023/2024"": 1.8431108372463254}",1.8415720725163542,0.008185088416157798
25,0.05,"{""2019/2020"": 1.8267669205787982, ""2020/2021"": 1.8439777370022, ""2021/2022"": 1.8459765947117932, ""2022/2023"": 1.8485725536954674, ""2023/2024"": 1.8415073997631544}",1.8413602411502825,0.008561047219069607
25,0.1,"{""2019/2020"": 1.8234604614047674, ""2020/2021"": 1.8425355237177161, ""2021/2022"": 1.845264758398944, ""2022/2023"": 1.8485950476806685, ""2023/2024"": 1.843005462439706}",1.8405722507283606,0.009861201664787708
25,0.15,"{""2019/2020"": 1.824821453908193, ""2020/2021"": 1.8436439219679321, ""2021/2022"": 1.845874715519131, ""2022/2023"": 1.8488981895820373, ""2023/2024"": 1.8436467877874434}",1.8413770137529475,0.009502298614357715
25,0.2,"{""2019/2020"": 1.8270751397287512, ""2020/2021"": 1.84350019643812, ""2021/2022"": 1.8468750483764529, ""2022/2023"": 1.8487645098247494, ""2023/2024"": 1.8449641737642064}",1.842235813626456,0.008703950526677988
