start,block,params_json,fold_loglosses_json,logloss_mean,logloss_std
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.870827454684277, ""2020/2021"": 1.8619810294979253, ""2021/2022"": 1.868106101124718, ""2022/2023"": 1.8688191084425831, ""2023/2024"": 1.860258376790793}",1.8659984141080592,0.004604500556116642
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 600, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8293715097738237, ""2020/2021"": 1.843163714025211, ""2021/2022"": 1.844726054361777, ""2022/2023"": 1.8511604448756727, ""2023/2024"": 1.8428118667159852}",1.8422467179504938,0.007945641844082665
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 600, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8318809854527431, ""2020/2021"": 1.8449528957857158, ""2021/2022"": 1.845740411117417, ""2022/2023"": 1.8536413363654491, ""2023/2024"": 1.843713382921763}",1.8439858023286178,0.007807753569763082
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 600, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8439269322583107, ""2020/2021"": 1.851486949605366, ""2021/2022"": 1.849865903627558, ""2022/2023"": 1.858474426495326, ""2023/2024"": 1.8467663973130701}",1.8501041218599261,0.00550747303021487
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 600, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8649991149845806, ""2020/2021"": 1.8568942660034649, ""2021/2022"": 1.860873438737701, ""2022/2023"": 1.8602803794770866, ""2023/2024"": 1.8530189722624317}",1.859213234293053,0.004503276280957532
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 600, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8841806506399128, ""2020/2021"": 1.874269131716397, ""2021/2022"": 1.8773537362238908, ""2022/2023"": 1.8741424525599815, ""2023/2024"": 1.8682324158402397}",1.8756356773960845,0.005806757766680596
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 800, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8305673765507613, ""2020/2021"": 1.8425545625069948, ""2021/2022"": 1.8449819193399404, ""2022/2023"": 1.8525215731945717, ""2023/2024"": 1.842712432594813}",1.8426675728374164,0.007888077343065908
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 800, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8335986124862411, ""2020/2021"": 1.8465584067468919, ""2021/2022"": 1.8462787925331932, ""2022/2023"": 1.8547226271522106, ""2023/2024"": 1.844598787661273}",1.845151445315962,0.00756028026652486
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 800, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8499255598024649, ""2020/2021"": 1.8530573344208874, ""2021/2022"": 1.8533979603812232, ""2022/2023"": 1.861051258212379, ""2023/2024"": 1.8488421985567167}",1.8532548622747342,0.004780144871701527
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 800, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8736978956363726, ""2020/2021"": 1.8596713018297713, ""2021/2022"": 1.8667864838051234, ""2022/2023"": 1.8639505116383195, ""2023/2024"": 1.8564467358639518}",1.8641105857547076,0.0066622894296979995
