bin,lo,hi,n,pred_mean,obs_freq
0,0.0,0.1,0,,
1,0.1,0.2,0,,
2,0.2,0.30000000000000004,0,,
3,0.30000000000000004,0.4,0,,
4,0.4,0.5,703,0.4824683238527614,0.492176386913229
5,0.5,0.6000000000000001,1546,0.5362898870310248,0.5439844760672704
6,0.6000000000000001,0.7000000000000001,229,0.6299082101294118,0.5589519650655022
7,0.7000000000000001,0.8,10,0.7121236561314016,0.8
8,0.8,0.9,0,,
9,0.9,1.0,0,,
