bin,lo,hi,n,pred_mean,obs_freq
0,0.0,0.1,0,,
1,0.1,0.2,17,0.17197970167741713,0.058823529411764705
2,0.2,0.30000000000000004,332,0.2696653276694785,0.27710843373493976
3,0.30000000000000004,0.4,1209,0.3526782297487943,0.40281224152191897
4,0.4,0.5,746,0.43926101243057936,0.5308310991957105
5,0.5,0.6000000000000001,159,0.5367296779854129,0.6289308176100629
6,0.6000000000000001,0.7000000000000001,25,0.6336635397014285,0.68
7,0.7000000000000001,0.8,0,,
8,0.8,0.9,0,,
9,0.9,1.0,0,,
