bin,lo,hi,n,pred_mean,obs_freq
0,0.0,0.1,0,,
1,0.1,0.2,27,0.18766346938309283,0.14814814814814814
2,0.2,0.30000000000000004,2461,0.2584567416137204,0.2568061763510768
3,0.30000000000000004,0.4,0,,
4,0.4,0.5,0,,
5,0.5,0.6000000000000001,0,,
6,0.6000000000000001,0.7000000000000001,0,,
7,0.7000000000000001,0.8,0,,
8,0.8,0.9,0,,
9,0.9,1.0,0,,
