bin,lo,hi,n,pred_mean,obs_freq
0,0.0,0.1,0,,
1,0.1,0.2,0,,
2,0.2,0.30000000000000004,0,,
3,0.30000000000000004,0.4,55,0.39125627273621083,0.32727272727272727
4,0.4,0.5,1517,0.4545777230848553,0.4871456822676335
5,0.5,0.6000000000000001,697,0.5380097045095695,0.5294117647058824
6,0.6000000000000001,0.7000000000000001,206,0.6384632155534228,0.5776699029126213
7,0.7000000000000001,0.8,13,0.7214099885985412,0.6153846153846154
8,0.8,0.9,0,,
9,0.9,1.0,0,,
